,Player,Tm,Yr2019_20
323,Monta Ellis,IND,"$2,245,400 "
324,Markieff Morris,DET,"$2,241,808 "
325,Aaron Holiday,IND,"$2,239,200 "
326,Luke Kornet,CHI,"$2,195,122 "
327,Ty Jerome,PHO,"$2,193,480 "
328,Willie Cauley-Stein,DAL,"$2,177,483 "
329,Austin Rivers,HOU,"$2,174,318 "
330,Carmelo Anthony,POR,"$2,159,029 "
331,Anfernee Simons,POR,"$2,149,560 "
332,Matt Barnes,SAC,"$2,133,541 "
333,Nassir Little,POR,"$2,105,520 "
334,Torrey Craig,DEN,"$2,100,000 "
335,Moritz Wagner,WAS,"$2,063,520 "
336,Dylan Windler,CLE,"$2,035,800 "
337,Caleb Swanigan,POR,"$2,033,160 "
338,Trey Burke,PHI,"$2,028,594 "
339,Kyle O'Quinn,PHI,"$2,028,594 "
340,Michael Carter-Williams,ORL,"$2,028,594 "
341,Mike Muscala,OKC,"$2,028,594 "
342,Nerlens Noel,OKC,"$2,028,594 "
343,Troy Daniels,LAL,"$2,028,594 "
344,Ben McLemore,HOU,"$2,028,594 "
345,Spencer Hawes,MIL,"$2,007,058 "
346,Edmond Sumner,IND,"$2,000,000 "
347,Avery Bradley,MEM,"$2,000,000 "
348,Noah Vonleh,DEN,"$2,000,000 "
349,Landry Shamet,LAC,"$1,995,120 "
350,Mfiondu Kabengele,LAC,"$1,977,000 "
351,Kyle Kuzma,LAL,"$1,974,600 "
352,Jordan Poole,GSW,"$1,964,760 "
353,Tony Bradley,UTA,"$1,962,360 "
354,Keldon Johnson,SAS,"$1,950,600 "
355,Derrick White,SAS,"$1,948,080 "
356,Robert Williams,BOS,"$1,937,520 "
357,Josh Hart,NOP,"$1,934,160 "
358,Jacob Evans,MIN,"$1,925,880 "
359,Anderson Varejão,POR,"$1,913,345 "
360,Džanan Musa,BRK,"$1,911,600 "
361,Omari Spellman,MIN,"$1,897,800 "
362,Shabazz Napier,WAS,"$1,882,867 "
363,Glenn Robinson,PHI,"$1,882,867 "
364,James Ennis,ORL,"$1,882,867 "
365,Tim Frazier,DET,"$1,882,867 "
366,Larry Sanders,MIL,"$1,865,547 "
367,Bruno Caboclo,HOU,"$1,845,301 "
368,Markieff Morris,LAL,"$1,750,000 "
369,Mario Hezonja,POR,"$1,737,145 "
370,Emmanuel Mudiay,UTA,"$1,737,145 "
371,Raul Neto,PHI,"$1,737,145 "
372,JaKarr Sampson,IND,"$1,737,145 "
373,Pat Connaughton,MIL,"$1,723,050 "
374,Jahlil Okafor,NOP,"$1,702,486 "
375,Rodions Kurucs,BRK,"$1,699,236 "
376,Jonah Bolden,PHI,"$1,698,450 "
377,Georges Niang,UTA,"$1,678,854 "
378,Cheick Diallo,PHO,"$1,678,854 "
379,Dragan Bender,MIL,"$1,678,854 "
380,David Nwaba,BRK,"$1,678,854 "
381,Treveon Graham,ATL,"$1,678,854 "
382,Willy Hernangómez,CHO,"$1,676,735 "
383,Derrick Jones,MIA,"$1,645,357 "
384,Jordan McRae,DET,"$1,645,357 "
385,Christian Wood,DET,"$1,645,357 "
386,Furkan Korkmaz,PHI,"$1,620,564 "
387,Jordan Bell,MEM,"$1,620,564 "
388,Justin Patton,DAL,"$1,620,564 "
389,Royce O'Neale,UTA,"$1,618,520 "
390,Dillon Brooks,MEM,"$1,618,520 "
391,Wesley Iwundu,ORL,"$1,618,520 "
392,Abdel Nader,OKC,"$1,618,520 "
393,Damyean Dotson,NYK,"$1,618,520 "
394,Frank Jackson,NOP,"$1,618,520 "
395,Sterling Brown,MIL,"$1,618,520 "
396,Dwayne Bacon,CHO,"$1,618,520 "
397,Semi Ojeleye,BOS,"$1,618,520 "
398,Chris Boucher,TOR,"$1,588,231 "
399,Malcolm Miller,TOR,"$1,588,231 "
400,Monte Morris,DEN,"$1,588,231 "
