,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
402,Torrey Craig,DEN,SF,2100000.0,6666.67,29,10.8,315.0,58.0,1072.0,47.0,23.0,36.0
384,Darius Bazley,OKC,PF,2284800.0,6680.7,19,9.6,342.0,61.0,1130.0,41.0,23.0,41.0
196,Lou Williams,LAC,SG,8000000.0,6751.05,33,17.3,1185.0,65.0,1864.0,365.0,43.0,12.0
451,Mario Hezonja,POR,PF,1737145.0,6785.72,24,9.5,256.0,53.0,871.0,50.0,36.0,9.0
625,Josh Magette,ORL,PG,81678.0,6806.5,30,5.1,12.0,8.0,38.0,5.0,3.0,1.0
626,Dusty Hannahs,MEM,SG,81678.0,6806.5,26,21.3,12.0,2.0,13.0,0.0,0.0,0.0
490,Semi Ojeleye,BOS,PF,1618520.0,6858.14,25,7.7,236.0,69.0,1011.0,37.0,21.0,5.0
428,Tony Bradley,UTA,C,1962360.0,6885.47,22,21.7,285.0,58.0,663.0,23.0,14.0,33.0
267,Rui Hachimura,WAS,PF,4469160.0,6886.22,21,13.5,649.0,48.0,1444.0,87.0,37.0,8.0
272,Cam Reddish,ATL,SF,4245720.0,6960.2,20,9.0,610.0,58.0,1551.0,87.0,62.0,28.0
456,Jahlil Okafor,NOP,C,1702486.0,7006.12,24,18.3,243.0,30.0,467.0,37.0,7.0,22.0
601,Justin Anderson,BRK,SF,196288.0,7010.29,26,3.2,28.0,10.0,107.0,8.0,0.0,6.0
335,Lonnie Walker,SAS,SG,2760480.0,7096.35,21,10.5,389.0,61.0,988.0,68.0,32.0,14.0
279,Malik Monk,CHO,SG,4028400.0,7142.55,21,12.6,564.0,55.0,1169.0,114.0,25.0,16.0
246,Lauri Markkanen,CHI,PF,5300400.0,7191.86,22,14.3,737.0,50.0,1492.0,74.0,42.0,23.0
489,Dwayne Bacon,CHO,SG,1618520.0,7225.54,24,6.1,224.0,39.0,687.0,52.0,23.0,2.0
602,Jerian Grant,WAS,PG,196288.0,7269.93,27,6.6,27.0,6.0,80.0,9.0,1.0,1.0
184,Ja Morant,MEM,PG,8730240.0,7317.89,20,17.4,1193.0,67.0,2074.0,488.0,58.0,18.0
367,Grayson Allen,MEM,SG,2429400.0,7361.82,24,12.0,330.0,38.0,718.0,52.0,10.0,2.0
263,Garrett Temple,BRK,SG,4767000.0,7436.82,33,10.5,641.0,62.0,1730.0,156.0,49.0,29.0
534,Alfonzo McKinnie,CLE,SF,1361046.0,7478.27,27,8.7,182.0,40.0,593.0,14.0,23.0,8.0
354,Rajon Rondo,LAL,PG,2564753.0,7499.28,33,12.4,342.0,48.0,984.0,240.0,40.0,2.0
383,Damian Jones,ATL,C,2305057.0,7532.87,24,15.6,306.0,55.0,887.0,35.0,26.0,40.0
303,T.J. McConnell,IND,PG,3500000.0,7543.1,27,16.5,464.0,71.0,1326.0,355.0,56.0,11.0
462,Cheick Diallo,PHO,C,1678854.0,7666.0,23,16.5,219.0,47.0,479.0,22.0,11.0,12.0
206,Joe Harris,BRK,SF,7670000.0,7685.37,28,13.3,998.0,69.0,2123.0,144.0,41.0,17.0
581,Iman Shumpert,BRK,SG,419443.0,7767.46,29,5.3,54.0,13.0,241.0,12.0,12.0,2.0
336,Alex Caruso,LAL,PG,2750000.0,7879.66,25,10.8,349.0,64.0,1175.0,124.0,70.0,18.0
