,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
123,Rodions Kurucs,BRK,PF,"$1,699,236.00","$1,662,781.00",21.0,8.9,215.0,47.0,684.0,51.0,25.0,5.0
124,Justin Holiday,IND,SG,"$4,767,000.00","$6,916,793.00",30.0,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
125,Ish Smith,WAS,PG,"$5,853,659.00","$9,825,014.00",31.0,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
126,Patrick Patterson,LAC,PF,"$2,331,593.00","$3,051,902.00",30.0,11.5,292.0,59.0,776.0,41.0,7.0,3.0
127,Cameron Johnson,PHO,PF,"$4,033,440.00","$3,595,579.00",23.0,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
128,Spencer Dinwiddie,BRK,SG,"$10,600,000.00","$11,809,247.00",26.0,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
129,Caleb Martin,CHO,SF,"$898,310.00","$5,883,099.00",24.0,12.0,111.0,18.0,317.0,23.0,12.0,7.0
130,Derrick Rose,DET,PG,"$7,317,073.00","$16,787,344.00",31.0,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
131,Shabazz Napier,WAS,PG,"$1,882,867.00","$10,737,929.00",28.0,13.8,231.0,20.0,488.0,75.0,29.0,4.0
132,T.J. Warren,IND,SF,"$10,810,000.00","$14,485,444.00",26.0,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
133,Harry Giles,SAC,PF,"$2,578,800.00","$2,697,292.00",21.0,16.4,316.0,46.0,667.0,60.0,22.0,18.0
134,Nemanja Bjelica,SAC,PF,"$6,825,000.00","$12,762,186.00",31.0,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
135,Daniel Theis,BOS,C,"$5,000,000.00","$7,880,868.00",27.0,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
136,Dāvis Bertāns,WAS,PF,"$7,000,000.00","$10,785,854.00",27.0,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
137,Matisse Thybulle,PHI,SG,"$2,582,160.00","$1,953,908.00",22.0,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
138,Vince Carter,ATL,SF,"$2,564,753.00","$8,682,122.00",43.0,7.5,298.0,60.0,876.0,48.0,23.0,25.0
139,Luke Kennard,DET,SG,"$3,827,160.00","$9,076,593.00",23.0,14.4,442.0,28.0,922.0,115.0,12.0,6.0
140,Ben Simmons,PHI,PG,"$8,113,930.00","$14,433,723.00",23.0,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
141,Darius Garland,CLE,PG,"$6,400,920.00","$4,055,595.00",20.0,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
142,Willy Hernangómez,CHO,C,"$1,676,735.00","$6,131,064.00",25.0,19.2,190.0,31.0,375.0,29.0,10.0,7.0
143,Richaun Holmes,SAC,C,"$4,767,000.00","$12,815,872.00",26.0,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
144,Kyle Korver,MIL,SF,"$3,440,000.00","$8,365,257.00",38.0,11.3,386.0,58.0,960.0,68.0,26.0,12.0
145,JaVale McGee,LAL,C,"$4,000,000.00","$6,629,485.00",32.0,19.4,446.0,68.0,1130.0,37.0,36.0,94.0
146,Mike Muscala,OKC,C,"$2,028,594.00","$3,460,686.00",28.0,12.5,226.0,47.0,572.0,40.0,9.0,12.0
147,De'Andre Hunter,ATL,SF,"$7,068,360.00","$5,495,088.00",22.0,8.6,778.0,63.0,2018.0,112.0,44.0,18.0
148,Justin Jackson,DAL,PF,"$3,280,920.00","$1,715,058.00",24.0,9.5,360.0,65.0,1045.0,52.0,15.0,10.0
149,Bogdan Bogdanović,SAC,SG,"$8,529,386.00","$9,455,688.00",27.0,15.1,924.0,61.0,1766.0,207.0,64.0,15.0
150,Seth Curry,DAL,SG,"$7,441,860.00","$8,177,915.00",29.0,15.5,793.0,64.0,1576.0,124.0,38.0,9.0
151,Malik Beasley,MIN,SG,"$2,731,714.00","$10,059,541.00",23.0,16.2,290.0,14.0,463.0,27.0,9.0,2.0
152,Fred VanVleet,TOR,PG,"$9,000,000.00","$13,803,451.00",25.0,16.3,952.0,54.0,1928.0,357.0,100.0,17.0
