,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
287,Luke Kennard,DET,SG,"$3,827,160.00","$8,885,561.72",23.0,14.4,442.0,28.0,922.0,115.0,12.0,6.0
193,Ben Simmons,PHI,PG,"$8,113,930.00","$14,553,595.57",23.0,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
229,Darius Garland,CLE,PG,"$6,400,920.00","$3,591,302.89",20.0,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
470,Willy Hernangómez,CHO,C,"$1,676,735.00","$6,046,811.66",25.0,19.2,190.0,31.0,375.0,29.0,10.0,7.0
256,Richaun Holmes,SAC,C,"$4,767,000.00","$11,422,948.60",26.0,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
309,Kyle Korver,MIL,SF,"$3,440,000.00","$13,769,599.80",38.0,11.3,386.0,58.0,960.0,68.0,26.0,12.0
281,JaVale McGee,LAL,C,"$4,000,000.00","$10,283,365.16",32.0,19.4,446.0,68.0,1130.0,37.0,36.0,94.0
413,Mike Muscala,OKC,C,"$2,028,594.00","$4,639,816.89",28.0,12.5,226.0,47.0,572.0,40.0,9.0,12.0
214,De'Andre Hunter,ATL,SF,"$7,068,360.00","$5,083,417.35",22.0,8.6,778.0,63.0,2018.0,112.0,44.0,18.0
316,Justin Jackson,DAL,PF,"$3,280,920.00","$-1,401,304.50",24.0,9.5,360.0,65.0,1045.0,52.0,15.0,10.0
189,Bogdan Bogdanović,SAC,SG,"$8,529,386.00","$12,577,768.28",27.0,15.1,924.0,61.0,1766.0,207.0,64.0,15.0
207,Seth Curry,DAL,SG,"$7,441,860.00","$10,836,800.62",29.0,15.5,793.0,64.0,1576.0,124.0,38.0,9.0
339,Malik Beasley,MIN,SG,"$2,731,714.00","$9,255,378.11",23.0,16.2,290.0,14.0,463.0,27.0,9.0,2.0
183,Fred VanVleet,TOR,PG,"$9,000,000.00","$15,035,399.29",25.0,16.3,952.0,54.0,1928.0,357.0,100.0,17.0
199,RJ Barrett,NYK,SG,"$7,839,960.00","$4,075,542.34",19.0,10.7,803.0,56.0,1704.0,143.0,55.0,17.0
285,Nicolò Melli,NOP,C,"$3,902,439.00","$5,882,893.60",29.0,11.4,395.0,60.0,1042.0,82.0,34.0,23.0
437,Džanan Musa,BRK,SF,"$1,911,600.00","$-2,130,081.06",20.0,9.4,192.0,40.0,487.0,43.0,15.0,1.0
235,Jarrett Culver,MIN,SG,"$5,813,640.00","$646,521.24",20.0,9.6,580.0,63.0,1506.0,110.0,57.0,38.0
372,Grant Williams,BOS,PF,"$2,379,840.00","$-5,602,847.69",21.0,7.9,237.0,69.0,1043.0,68.0,30.0,36.0
289,Jakob Poeltl,SAS,C,"$3,754,886.00","$3,474,289.12",24.0,19.1,372.0,66.0,1171.0,116.0,37.0,95.0
536,Carsen Edwards,BOS,SG,"$1,228,026.00","$-2,005,945.24",21.0,6.9,121.0,37.0,351.0,24.0,12.0,4.0
264,Enes Kanter,BOS,C,"$4,767,000.00","$7,079,971.79",27.0,22.4,469.0,58.0,983.0,56.0,22.0,41.0
392,Luke Kornet,CHI,C,"$2,195,122.00","$4,136,564.68",24.0,12.7,215.0,36.0,559.0,32.0,11.0,26.0
252,Jaxson Hayes,NOP,C,"$4,862,040.00","$-1,810,821.14",19.0,17.6,472.0,64.0,1080.0,56.0,26.0,55.0
208,Doug McDermott,IND,PF,"$7,333,334.00","$6,296,798.43",28.0,14.4,710.0,69.0,1372.0,78.0,12.0,5.0
516,Kenrich Williams,NOP,PF,"$1,416,852.00","$3,743,218.17",25.0,7.5,136.0,39.0,832.0,57.0,27.0,21.0
271,Kevin Knox,NYK,SF,"$4,380,120.00","$-3,659,027.45",20.0,8.3,419.0,65.0,1166.0,61.0,23.0,28.0
345,DeAndre' Bembry,ATL,SG,"$2,603,982.00","$4,766,208.10",25.0,9.6,249.0,43.0,915.0,81.0,55.0,19.0
380,Alec Burks,PHI,SG,"$2,320,044.00","$11,833,092.63",28.0,16.1,220.0,18.0,364.0,38.0,12.0,0.0
376,Chandler Hutchison,CHI,SF,"$2,332,320.00","$4,812,483.63",23.0,12.4,218.0,28.0,527.0,26.0,27.0,7.0
209,Langston Galloway,DET,SG,"$7,333,333.00","$8,203,465.64",28.0,12.3,677.0,66.0,1702.0,101.0,48.0,11.0
227,Ivica Zubac,LAC,C,"$6,481,482.00","$1,797,548.02",22.0,21.7,596.0,72.0,1326.0,82.0,16.0,66.0
179,Jerami Grant,DEN,PF,"$9,346,153.00","$7,941,530.53",25.0,14.4,851.0,71.0,1892.0,88.0,50.0,57.0
261,JaMychal Green,LAC,PF,"$4,767,000.00","$5,958,396.28",29.0,11.1,430.0,63.0,1307.0,49.0,29.0,24.0
327,Nickeil Alexander-Walker,NOP,SG,"$2,964,840.00","$-1,584,347.44",21.0,8.9,267.0,47.0,591.0,89.0,17.0,8.0
454,JaKarr Sampson,IND,SF,"$1,737,145.00","$5,231,252.65",26.0,12.6,156.0,34.0,471.0,21.0,16.0,12.0
445,James Ennis,ORL,SF,"$1,882,867.00","$11,308,129.18",29.0,10.3,169.0,20.0,489.0,22.0,12.0,8.0
169,Markelle Fultz,ORL,PG,"$9,745,200.00","$5,571,325.96",21.0,14.3,870.0,72.0,1996.0,369.0,90.0,11.0
366,Terrance Ferguson,OKC,SF,"$2,475,840.00","$-3,027,823.00",21.0,3.7,220.0,56.0,1257.0,51.0,27.0,17.0
259,Avery Bradley,LAL,SG,"$4,767,000.00","$8,554,726.17",29.0,8.9,423.0,49.0,1186.0,63.0,43.0,5.0
242,Aron Baynes,PHO,C,"$5,453,280.00","$14,985,727.52",33.0,15.2,481.0,42.0,934.0,67.0,10.0,23.0
324,Ryan Arcidiacono,CHI,PG,"$3,000,000.00","$219,592.43",25.0,9.0,261.0,58.0,930.0,96.0,27.0,3.0
358,J.J. Barea,DAL,PG,"$2,564,753.00","$15,847,978.07",35.0,14.6,222.0,29.0,450.0,112.0,5.0,2.0
350,Jeff Green,HOU,C,"$2,564,753.00","$17,159,898.03",33.0,18.6,220.0,18.0,407.0,30.0,14.0,9.0
258,Mike Scott,PHI,PF,"$4,767,000.00","$5,386,793.26",31.0,11.2,408.0,68.0,1207.0,56.0,21.0,5.0
186,Lonzo Ball,NOP,PG,"$8,719,320.00","$8,785,225.86",22.0,13.1,745.0,63.0,2025.0,438.0,88.0,38.0
195,Maxi Kleber,DAL,C,"$8,000,000.00","$8,534,067.26",28.0,13.6,672.0,74.0,1890.0,88.0,25.0,83.0
