,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
123,Rodions Kurucs,BRK,PF,1699236.0,7903.42,21.0,8.9,215.0,47.0,684.0,51.0,25.0,5.0
124,Justin Holiday,IND,SG,4767000.0,7905.47,30.0,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
125,Ish Smith,WAS,PG,5853659.0,7910.35,31.0,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
126,Patrick Patterson,LAC,PF,2331593.0,7984.91,30.0,11.5,292.0,59.0,776.0,41.0,7.0,3.0
127,Cameron Johnson,PHO,PF,4033440.0,8002.86,23.0,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
128,Spencer Dinwiddie,BRK,SG,10600000.0,8042.49,26.0,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
129,Caleb Martin,CHO,SF,898310.0,8092.88,24.0,12.0,111.0,18.0,317.0,23.0,12.0,7.0
130,Derrick Rose,DET,PG,7317073.0,8094.11,31.0,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
131,Shabazz Napier,WAS,PG,1882867.0,8150.94,28.0,13.8,231.0,20.0,488.0,75.0,29.0,4.0
132,T.J. Warren,IND,SF,10810000.0,8152.34,26.0,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
133,Harry Giles,SAC,PF,2578800.0,8160.76,21.0,16.4,316.0,46.0,667.0,60.0,22.0,18.0
134,Nemanja Bjelica,SAC,PF,6825000.0,8213.0,31.0,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
135,Daniel Theis,BOS,C,5000000.0,8319.47,27.0,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
136,Dāvis Bertāns,WAS,PF,7000000.0,8393.29,27.0,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
137,Matisse Thybulle,PHI,SG,2582160.0,8466.1,22.0,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
138,Vince Carter,ATL,SF,2564753.0,8606.55,43.0,7.5,298.0,60.0,876.0,48.0,23.0,25.0
139,Luke Kennard,DET,SG,3827160.0,8658.73,23.0,14.4,442.0,28.0,922.0,115.0,12.0,6.0
140,Ben Simmons,PHI,PG,8113930.0,8659.48,23.0,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
141,Darius Garland,CLE,PG,6400920.0,8792.47,20.0,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
142,Willy Hernangómez,CHO,C,1676735.0,8824.92,25.0,19.2,190.0,31.0,375.0,29.0,10.0,7.0
143,Richaun Holmes,SAC,C,4767000.0,8844.16,26.0,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
144,Kyle Korver,MIL,SF,3440000.0,8911.92,38.0,11.3,386.0,58.0,960.0,68.0,26.0,12.0
145,JaVale McGee,LAL,C,4000000.0,8968.61,32.0,19.4,446.0,68.0,1130.0,37.0,36.0,94.0
146,Mike Muscala,OKC,C,2028594.0,8976.08,28.0,12.5,226.0,47.0,572.0,40.0,9.0,12.0
147,De'Andre Hunter,ATL,SF,7068360.0,9085.3,22.0,8.6,778.0,63.0,2018.0,112.0,44.0,18.0
148,Justin Jackson,DAL,PF,3280920.0,9113.67,24.0,9.5,360.0,65.0,1045.0,52.0,15.0,10.0
149,Bogdan Bogdanović,SAC,SG,8529386.0,9230.94,27.0,15.1,924.0,61.0,1766.0,207.0,64.0,15.0
150,Seth Curry,DAL,SG,7441860.0,9384.44,29.0,15.5,793.0,64.0,1576.0,124.0,38.0,9.0
151,Malik Beasley,MIN,SG,2731714.0,9419.7,23.0,16.2,290.0,14.0,463.0,27.0,9.0,2.0
152,Fred VanVleet,TOR,PG,9000000.0,9453.78,25.0,16.3,952.0,54.0,1928.0,357.0,100.0,17.0
153,RJ Barrett,NYK,SG,7839960.0,9763.34,19.0,10.7,803.0,56.0,1704.0,143.0,55.0,17.0
154,Nicolò Melli,NOP,C,3902439.0,9879.59,29.0,11.4,395.0,60.0,1042.0,82.0,34.0,23.0
155,Džanan Musa,BRK,SF,1911600.0,9956.25,20.0,9.4,192.0,40.0,487.0,43.0,15.0,1.0
156,Jarrett Culver,MIN,SG,5813640.0,10023.52,20.0,9.6,580.0,63.0,1506.0,110.0,57.0,38.0
157,Grant Williams,BOS,PF,2379840.0,10041.52,21.0,7.9,237.0,69.0,1043.0,68.0,30.0,36.0
158,Jakob Poeltl,SAS,C,3754886.0,10093.78,24.0,19.1,372.0,66.0,1171.0,116.0,37.0,95.0
159,Carsen Edwards,BOS,SG,1228026.0,10148.98,21.0,6.9,121.0,37.0,351.0,24.0,12.0,4.0
160,Enes Kanter,BOS,C,4767000.0,10164.18,27.0,22.4,469.0,58.0,983.0,56.0,22.0,41.0
161,Luke Kornet,CHI,C,2195122.0,10209.87,24.0,12.7,215.0,36.0,559.0,32.0,11.0,26.0
162,Jaxson Hayes,NOP,C,4862040.0,10300.93,19.0,17.6,472.0,64.0,1080.0,56.0,26.0,55.0
163,Doug McDermott,IND,PF,7333334.0,10328.64,28.0,14.4,710.0,69.0,1372.0,78.0,12.0,5.0
164,Kenrich Williams,NOP,PF,1416852.0,10418.03,25.0,7.5,136.0,39.0,832.0,57.0,27.0,21.0
165,Kevin Knox,NYK,SF,4380120.0,10453.75,20.0,8.3,419.0,65.0,1166.0,61.0,23.0,28.0
166,DeAndre' Bembry,ATL,SG,2603982.0,10457.76,25.0,9.6,249.0,43.0,915.0,81.0,55.0,19.0
