player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Gary Trent,,,,,,,,,1416852,,
Isaac Bonga,WAS,SF,330,66,1250,76,45,22,1416852,4293.49,1133.48
Chimezie Metu,SAS,PF,58,18,105,10,3,6,1416852,24428.48,13493.83
Jevon Carter,PHO,PG,287,58,945,84,47,17,1416852,4936.77,1499.31
Elie Okobo,PHO,PG,219,55,719,115,24,4,1416852,6469.64,1970.59
Melvin Frazier,ORL,SG,40,19,126,3,9,2,1416852,35421.3,11244.86
Deonte Burton,OKC,SG,104,39,356,17,7,10,1416852,13623.58,3979.92
Hamidou Diallo,OKC,SF,318,46,896,36,37,9,1416852,4455.51,1581.31
Kenrich Williams,NOP,PF,136,39,832,57,27,21,1416852,10418.03,1702.95
Jarred Vanderbilt,MIN,PF,2,2,5,0,0,0,1416852,708426,283370.4
Duncan Robinson,MIA,SF,983,73,2166,102,35,19,1416852,1441.36,654.13
Kendrick Nunn,MIA,SG,1024,67,1962,220,56,15,1416852,1383.64,722.15
De'Anthony Melton,MEM,PG,455,60,1167,175,77,20,1416852,3113.96,1214.1
Alize Johnson,IND,SF,34,17,118,7,3,2,1416852,41672.12,12007.22
Isaiah Hartenstein,HOU,C,107,23,266,18,9,12,1416852,13241.61,5326.51
Sviatoslav Mykhailiuk,DET,SF,504,56,1265,106,41,4,1416852,2811.21,1120.04
Bruce Brown,DET,SG,517,58,1634,230,63,29,1416852,2740.53,867.11
Keita Bates-Diop,DEN,SF,37,7,98,0,2,4,1416852,38293.3,14457.67
Devonte' Graham,CHO,PG,1145,63,2211,471,62,15,1416852,1237.43,640.82
Jalen Brunson,DAL,PG,466,57,1022,188,22,4,1416582,3039.88,1386.09
Bruno Fernando,ATL,C,240,56,713,49,18,17,1400000,5833.33,1963.53
Jaylen Nowell,MIN,SG,57,15,151,19,3,1,1400000,24561.4,9271.52
Alfonzo McKinnie,CLE,SF,182,40,593,14,23,8,1361046,7478.27,2295.19
Kevin Porter,,,,,,,,,1290960,,
Carsen Edwards,BOS,SG,121,37,351,24,12,4,1228026,10148.98,3498.65
Cody Martin,CHO,SF,238,48,903,95,39,9,1173310,4929.87,1299.35
Gary Payton,,,,,,,,,1090781,,
Terance Mann,LAC,SG,99,41,362,53,11,5,1000000,10101.01,2762.43
Jonathon Simmons,,,,,,,,,1000000,,
Justin Hamilton,,,,,,,,,1000000,,
Kyle Singler,,,,,,,,,999200,,
Admiral Schofield,WAS,SF,99,33,368,15,8,4,898310,9073.84,2441.06
